Agriculture,Philosophy Pschology,Technology,Novel,Language and literature,"Geography, Anthropology",Science,Social Science
,Y,,Y,Y,,Y,Y
Y,,Y,Y,Y,,,
,,Y,,Y,,Y,Y
,Y,,Y,,,Y,Y
,,,Y,Y,Y,Y,
,Y,Y,Y,Y,,Y,Y
,Y,,Y,Y,,Y,
,,Y,,Y,Y,Y,Y
,Y,Y,Y,,Y,Y,
,Y,Y,Y,Y,,,
Y,Y,,,Y,,,Y
Y,Y,Y,Y,Y,,,
Y,,Y,,,,Y,Y
Y,,Y,Y,,,Y,
,Y,Y,,Y,,Y,
,Y,Y,Y,Y,,Y,Y
,,Y,,Y,,Y,Y
Y,,Y,,Y,,Y,
,Y,Y,Y,,,Y,
Y,,Y,,,Y,Y,Y
,Y,Y,,Y,,Y,
,Y,,Y,,,Y,Y
,,Y,Y,Y,,Y,
,Y,Y,Y,Y,,Y,Y
,,Y,Y,Y,,Y,
,Y,,Y,Y,,,Y
,Y,Y,Y,Y,,Y,
,Y,Y,,Y,,Y,
,,,Y,Y,,Y,Y
,Y,,Y,Y,,Y,
,,Y,,Y,Y,Y,Y
Y,Y,,,Y,,Y,Y
,,Y,Y,,,Y,Y
Y,Y,,,,,Y,Y
Y,,,Y,Y,,Y,
Y,,,,Y,,Y,Y
Y,Y,,Y,Y,,,Y
Y,Y,Y,Y,,,Y,Y
,,Y,Y,,,Y,Y
,Y,Y,,Y,Y,,Y
,,Y,,Y,Y,Y,
,Y,Y,Y,Y,,Y,
,,Y,Y,Y,,Y,
,,Y,Y,Y,,Y,
,,Y,Y,Y,,Y,Y
,Y,Y,Y,,Y,,
,,Y,Y,Y,,Y,
,Y,Y,,,Y,Y,
,Y,Y,Y,,,Y,
,Y,,,,Y,Y,Y
,Y,Y,,Y,,Y,
,,Y,,Y,,Y,Y
,,Y,Y,Y,Y,Y,
,,Y,Y,Y,,Y,Y
,,Y,Y,Y,,Y,
,Y,Y,Y,,,Y,Y
,Y,Y,Y,,,Y,
,Y,Y,,Y,,Y,Y
Y,,Y,Y,,,,Y
,Y,Y,,Y,,Y,
,Y,Y,Y,Y,,Y,Y
,,Y,Y,Y,,,Y
,,Y,Y,Y,,Y,
,,Y,Y,Y,,Y,
,,Y,Y,,,Y,Y
,,Y,Y,Y,,Y,
Y,,Y,,,,Y,Y
Y,,,Y,,,Y,Y
,Y,,Y,,,Y,Y
,Y,,,Y,,Y,Y
,,Y,,Y,,Y,Y
,Y,,,Y,,Y,Y
,,,Y,Y,,Y,Y
,,Y,,Y,Y,Y,Y
,Y,Y,Y,Y,Y,Y,Y
,Y,Y,Y,Y,,Y,
,Y,Y,Y,,,Y,
,,Y,Y,,,Y,Y
,Y,,Y,Y,,Y,Y
Y,Y,,,Y,,Y,
,Y,Y,,,,Y,Y
,,Y,,Y,,Y,Y
,Y,Y,Y,Y,,Y,
,,Y,Y,Y,,Y,
,,Y,,Y,Y,Y,
,,Y,Y,,,Y,Y
,Y,Y,,,,Y,Y
,Y,Y,,Y,Y,Y,Y
,,Y,,Y,,Y,Y
,,Y,,Y,,Y,Y
,,Y,Y,Y,Y,Y,
,Y,Y,Y,,Y,,
,Y,Y,,Y,,Y,Y
,,Y,Y,Y,Y,,
,Y,Y,Y,Y,,Y,Y
,Y,Y,,,,Y,Y
,,Y,Y,Y,Y,Y,
,Y,Y,,Y,,Y,
,Y,Y,,Y,,Y,
,,Y,,Y,Y,Y,Y
,Y,,Y,,,Y,Y
,,Y,Y,Y,,Y,
,,Y,Y,,Y,,Y
,,Y,Y,Y,Y,Y,Y
,,Y,Y,,Y,Y,
,Y,Y,Y,,Y,Y,
,,Y,,Y,,Y,Y
,,Y,Y,Y,Y,Y,
,Y,Y,Y,,,,Y
,,Y,Y,Y,,Y,
,Y,Y,,,Y,,Y
,Y,Y,Y,,,Y,
,,Y,,Y,,Y,Y
,Y,Y,Y,,,Y,
,Y,Y,Y,,,Y,Y
,Y,,Y,Y,,Y,Y
Y,,,Y,,Y,Y,
,Y,,Y,Y,,Y,
,,Y,,Y,,Y,Y
,Y,Y,Y,,,Y,
,,Y,Y,,,Y,Y
,,Y,Y,Y,,Y,Y
,Y,Y,Y,,,,Y
,Y,Y,,Y,,Y,
Y,,,Y,,,Y,Y
Y,Y,,Y,Y,,Y,
Y,Y,,Y,Y,,Y,Y
Y,,,Y,Y,,Y,Y
,Y,Y,,,,Y,Y
,Y,Y,,Y,,Y,
,,Y,Y,Y,,Y,Y
,,Y,Y,Y,Y,,
,Y,Y,,Y,,Y,Y
,,Y,,Y,Y,Y,
,,Y,,Y,Y,Y,
,,Y,,,Y,Y,Y
,Y,Y,,Y,,Y,
,Y,Y,,,Y,Y,
,Y,,Y,Y,,Y,Y
,,Y,,,Y,Y,Y
,,Y,Y,Y,,Y,
,Y,Y,Y,,,Y,
,Y,Y,,,Y,Y,
,Y,Y,,Y,Y,Y,Y
,,Y,Y,,Y,Y,
,Y,Y,Y,,,Y,Y
,,Y,Y,Y,,Y,
,Y,Y,,,Y,Y,Y
,Y,Y,Y,Y,,Y,
,Y,,,Y,Y,Y,Y
,Y,Y,,Y,Y,Y,
,,Y,Y,,Y,Y,
,,Y,Y,Y,,Y,
,Y,Y,Y,Y,,Y,
,Y,Y,Y,Y,,Y,
,Y,Y,,Y,,Y,
,Y,Y,Y,,Y,Y,Y
,,Y,,Y,Y,Y,
,,Y,Y,Y,,Y,
,Y,Y,,,,Y,Y
,,Y,Y,Y,,Y,Y
,Y,Y,Y,Y,,Y,Y
,Y,,Y,Y,,Y,
,Y,Y,Y,,,Y,
,Y,Y,Y,Y,,Y,
,,Y,Y,,,Y,Y
,Y,Y,,Y,,Y,Y
Y,Y,,Y,,,Y,Y
Y,,,,Y,,Y,Y
,Y,,Y,Y,,Y,
Y,,Y,,Y,,Y,
,,Y,,Y,,Y,Y
,,Y,Y,,Y,Y,
,Y,Y,Y,Y,,Y,
,,Y,Y,,,Y,Y
,,Y,Y,Y,Y,,
,Y,Y,Y,Y,Y,Y,
,,Y,Y,,Y,Y,
,,Y,,Y,,Y,Y
,Y,Y,Y,,,Y,
,Y,Y,,Y,,Y,
,,Y,,Y,,Y,Y
,Y,,Y,,,Y,Y
,Y,Y,Y,,,Y,
,Y,,Y,Y,,Y,
,Y,,Y,Y,,Y,
,Y,,Y,,,Y,Y
,Y,Y,Y,,,Y,Y
Y,Y,Y,Y,,,Y,Y
,,Y,,,Y,Y,Y
,,Y,,Y,Y,Y,
,Y,Y,Y,,,Y,
,,Y,Y,Y,,Y,
,Y,Y,,,,Y,Y
,Y,Y,,Y,,Y,
,Y,Y,Y,Y,,Y,Y
,,Y,Y,Y,,Y,
,Y,Y,,,,Y,Y
,,Y,Y,Y,,Y,
,,Y,Y,Y,,Y,
Y,,,Y,,,Y,Y
,Y,Y,Y,Y,,,
